GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,4,105,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,4,113,2,2,2,27,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,4,107,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,4,105,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,2,119,1,1,1,28,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,4,105,2,2,2,26,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.Utils,ApplicationSecurityConfiguration,7,86,1,1,1,23,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,31,3,0,0,9,1,5,1,5,1
spring-boot-skeleton,com.nnk.springboot.services,MyUserLoginInfoService,17,3,2,0,4,1,2,1,1,1
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,34,0,0,0,10,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,17,39,0,0,4,11,2,6,2,6
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,34,0,0,0,10,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,34,0,0,0,10,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,34,0,0,0,10,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,4,34,0,0,2,14,1,10,1,10
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,4,48,0,0,2,20,1,14,1,14
spring-boot-skeleton,com.nnk.springboot.domain,BidList,76,81,0,0,38,29,19,26,19,26
spring-boot-skeleton,com.nnk.springboot.domain,Trade,68,85,0,0,34,33,17,27,17,27
spring-boot-skeleton,com.nnk.springboot.domain,User,4,34,0,0,2,14,1,10,1,10
spring-boot-skeleton,com.nnk.springboot.domain,UserLoginInfo,38,0,0,0,12,0,8,0,8,0
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,12,33,0,0,6,13,3,10,3,10
